This is a sample data
You can use this to check what you can do with this package

   x  ,  y
 528,     208
 529,     178
 530,     198
 531,     216
 532,     200
 533,     198
 534,     192
 535,     221
 536,     189
 537,     179
 538,     207
 539,     179
 540,     197
 541,     190
 542,     187
 543,     205
 544,     197
 545,     206
 546,     180
 547,     192
 548,     175
 549,     201
 550,     201
 551,     207
 552,     215
 553,     189
 554,     213
 555,     196
 556,     199
 557,     204
 558,     214
 559,     195
 560,     218
 561,     215
 562,     218
 563,     203
 564,     211
 565,     218
 566,     217
 567,     214
 568,     201
 569,     222
 570,     215
 571,     237
 572,     223
 573,     237
 574,     209
 575,     220
 576,     228
 577,     233
 578,     231
 579,     221
 580,     243
 581,     231
 582,     218
 583,     215
 584,     198
 585,     249
 586,     249
 587,     237
 588,     231
 589,     216
 590,     221
 591,     265
 592,     265
 593,     239
 594,     262
 595,     256
 596,     258
 597,     249
 598,     262
 599,     224
 600,     264
 601,     260
 602,     276
 603,     267
 604,     242
 605,     252
 606,     260
 607,     241
 608,     280
 609,     251
 610,     272
 611,     250
 612,     280
 613,     297
 614,     274
 615,     232
 616,     272
 617,     256
 618,     256
 619,     265
 620,     249
 621,     288
 622,     277
 623,     264
 624,     263
 625,     254
 626,     254
 627,     238
 628,     245
 629,     275
 630,     255
 631,     283
 632,     263
 633,     261
 634,     272
 635,     270
 636,     265
 637,     295
 638,     272
 639,     249
 640,     245
 641,     273
 642,     287
 643,     254
 644,     250
 645,     271
 646,     255
 647,     251
 648,     238
 649,     272
 650,     287
 651,     261
 652,     277
 653,     254
 654,     301
 655,     243
 656,     261
 657,     257
 658,     255
 659,     256
 660,     262
 661,     258
 662,     295
 663,     233
 664,     268
 665,     261
 666,     247
 667,     264
 668,     256
 669,     284
 670,     217
 671,     263
 672,     263
 673,     265
 674,     274
 675,     273
 676,     259
 677,     249
 678,     294
 679,     248
 680,     248
 681,     239
 682,     286
 683,     254
 684,     248
 685,     273
 686,     266
 687,     251
 688,     255
 689,     267
 690,     255
 691,     247
 692,     251
 693,     237
 694,     273
 695,     240
 696,     266
 697,     266
 698,     248
 699,     230
 700,     274
 701,     256
 702,     292
 703,     248
 704,     251
 705,     212
 706,     242
 707,     280
 708,     200
 709,     243
 710,     248
 711,     255
 712,     235
 713,     226
 714,     250
 715,     255
 716,     215
 717,     244
 718,     248
 719,     233
 720,     239
 721,     237
 722,     239
 723,     265
 724,     262
 725,     275
 726,     237
 727,     227
 728,     257
 729,     232
 730,     232
 731,     220
 732,     240
 733,     249
 734,     256
 735,     213
 736,     250
 737,     227
 738,     243
 739,     239
 740,     226
 741,     271
 742,     221
 743,     231
 744,     237
 745,     248
 746,     214
 747,     216
 748,     214
 749,     214
 750,     232
 751,     239
 752,     245
 753,     258
 754,     219
 755,     218
 756,     252
 757,     242
 758,     226
 759,     225
 760,     235
 761,     228
 762,     207
 763,     209
 764,     237
 765,     212
 766,     218
 767,     234
 768,     201
 769,     208
 770,     228
 771,     207
 772,     215
 773,     232
 774,     177
 775,     234
 776,     220
 777,     205
 778,     194
 779,     212
 780,     206
 781,     222
 782,     212
 783,     231
 784,     229
 785,     236
 786,     198
 787,     212
 788,     222
 789,     207
 790,     206
 791,     227
 792,     214
 793,     215
 794,     234
 795,     204
 796,     237
 797,     233
 798,     226
 799,     209
 800,     243
 801,     214
 802,     181
 803,     237
 804,     220
 805,     204
 806,     213
 807,     199
 808,     203
 809,     214
 810,     189
 811,     187
 812,     211
 813,     212
 814,     197
 815,     210
 816,     227
 817,     228
 818,     244
 819,     179
 820,     181
 821,     208
 822,     231
 823,     209
 824,     199
 825,     213
 826,     229
 827,     210
 828,     209
 829,     222
 830,     249
 831,     190
 832,     209
 833,     212
 834,     205
 835,     218
 836,     206
 837,     175
 838,     215
 839,     194
 840,     201
 841,     225
 842,     204
 843,     188
 844,     200
 845,     207
 846,     214
 847,     204
 848,     187
 849,     206
 850,     207
 851,     206
 852,     215
 853,     178
 854,     219
 855,     214
 856,     224
 857,     185
 858,     193
 859,     194
 860,     177
 861,     210
 862,     203
 863,     191
 864,     212
 865,     186
 866,     190
 867,     192
 868,     179
 869,     177
 870,     203
 871,     178
 872,     174
 873,     187
 874,     196
 875,     171
 876,     187
 877,     184
 878,     183
 879,     178
 880,     183
 881,     175
 882,     192
 883,     178
 884,     179
 885,     181
 886,     178
 887,     185
 888,     208
 889,     210
 890,     187
 891,     177
 892,     174
 893,     177
 894,     194
 895,     184
 896,     188
 897,     195
 898,     190
 899,     191
 900,     182
 901,     185
 902,     177
 903,     165
 904,     180
 905,     177
 906,     194
 907,     174
 908,     194
 909,     183
 910,     185
 911,     174
 912,     177
 913,     193
 914,     189
 915,     173
 916,     178
 917,     181
 918,     154
 919,     155
 920,     170
 921,     192
 922,     184
 923,     171
 924,     170
 925,     174
 926,     187
 927,     220
 928,     197
 929,     168
 930,     159
 931,     174
 932,     188
 933,     157
 934,     177
 935,     188
 936,     184
 937,     175
 938,     201
 939,     164
 940,     178
 941,     178
 942,     183
 943,     184
 944,     161
 945,     181
 946,     193
 947,     188
 948,     182
 949,     185
 950,     205
 951,     167
 952,     169
 953,     198
 954,     163
 955,     182
 956,     182
 957,     163
 958,     170
 959,     177
 960,     160
 961,     192
 962,     197
 963,     173
 964,     168
 965,     196
 966,     176
 967,     193
 968,     163
 969,     165
 970,     184
 971,     187
 972,     178
 973,     173
 974,     158
 975,     183
 976,     181
 977,     182
 978,     169
 979,     153
 980,     184
 981,     165
 982,     166
 983,     178
 984,     168
 985,     174
 986,     175
 987,     168
 988,     170
 989,     183
 990,     157
 991,     148
 992,     165
 993,     149
 994,     165
 995,     151
 996,     149
 997,     173
 998,     167
 999,     150
1000,     176
1001,     167
1002,     184
1003,     165
1004,     146
1005,     161
1006,     151
1007,     187
1008,     158
1009,     183
1010,     152
1011,     143
1012,     159
1013,     138
1014,     157
1015,     175
1016,     165
1017,     163
1018,     147
1019,     154
1020,     152
1021,     165
1022,     159
1023,     177
1024,     144
1025,     168
1026,     159
1027,     163
1028,     168
1029,     163
1030,     160
1031,     158
1032,     183
1033,     135
1034,     144
1035,     164
1036,     153
1037,     168
1038,     155
1039,     148
1040,     160
1041,     177
1042,     153
1043,     151
1044,     151
1045,     150
1046,     175
1047,     173
1048,     127
1049,     155
1050,     160
1051,     154
1052,     161
1053,     158
1054,     135
1055,     134
1056,     157
1057,     175
1058,     154
1059,     156
1060,     150
1061,     157
1062,     141
1063,     143
1064,     155
1065,     151
1066,     168
1067,     179
1068,     139
1069,     133
1070,     163
1071,     154
1072,     151
1073,     144
1074,     145
1075,     179
1076,     144
1077,     149
1078,     160
1079,     149
1080,     165
1081,     175
1082,     136
1083,     183
1084,     158
1085,     149
1086,     145
1087,     148
1088,     159
1089,     158
1090,     136
1091,     149
1092,     145
1093,     163
1094,     151
1095,     148
1096,     159
1097,     136
1098,     140
1099,     159
1100,     133
1101,     150
1102,     156
1103,     131
1104,     135
1105,     152
1106,     148
1107,     129
1108,     162
1109,     136
1110,     138
1111,     161
1112,     135
1113,     136
1114,     149
1115,     144
1116,     122
1117,     152
1118,     154
1119,     132
1120,     152
1121,     153
1122,     149
1123,     160
1124,     174
1125,     150
1126,     133
1127,     140
1128,     138
1129,     147
1130,     127
1131,     120
1132,     165
1133,     125
1134,     153
1135,     144
1136,     141
1137,     165
1138,     136
1139,     143
1140,     153
1141,     152
1142,     153
1143,     159
1144,     131
1145,     135
1146,     174
1147,     144
1148,     147
1149,     144
1150,     137
1151,     179
1152,     139
1153,     159
1154,     118
1155,     134
1156,     154
1157,     131
1158,     149
1159,     128
1160,     139
1161,     135
1162,     127
1163,     152
1164,     132
1165,     143
1166,     133
1167,     135
1168,     127
1169,     170
1170,     137
1171,     170
1172,     156
1173,     141
1174,     136
1175,     133
1176,     159
1177,     149
1178,     147
1179,     139
1180,     131
1181,     155
1182,     166
1183,     136
1184,     151
1185,     127
1186,     145
1187,     131
1188,     150
1189,     126
1190,     135
1191,     139
1192,     158
1193,     157
1194,     153
1195,     121
1196,     134
1197,     135
1198,     139
1199,     149
1200,     134
1201,     129
1202,     146
1203,     146
1204,     137
1205,     143
1206,     159
1207,     135
1208,     136
1209,     147
1210,     141
1211,     141
1212,     158
1213,     133
1214,     136
1215,     146
1216,     117
1217,     144
1218,     123
1219,     135
1220,     160
1221,     157
1222,     131
1223,     149
1224,     145
1225,     148
1226,     145
1227,     109
1228,     133
1229,     125
1230,     132
1231,     141
1232,     138
1233,     127
1234,     135
1235,     117
1236,     135
1237,     137
1238,     120
1239,     141
1240,     127
1241,     141
1242,     140
1243,     162
1244,     124
1245,     124
1246,     121
1247,     140
1248,     132
1249,     134
1250,     142
1251,     124
1252,     124
1253,     151
1254,     160
1255,     117
1256,     140
1257,     162
1258,     127
1259,     115
1260,     116
1261,     152
1262,     142
1263,     116
1264,     129
1265,     145
1266,     135
1267,     136
1268,     137
1269,     139
1270,     131
1271,     145
1272,     167
1273,     135
1274,     162
1275,     122
1276,     112
1277,     154
1278,     120
1279,     123
1280,     132
1281,     143
1282,     143
1283,     152
1284,     120
1285,     141
1286,     136
1287,     135
1288,     136
1289,     136
1290,     140
1291,     138
1292,     124
1293,     124
1294,     132
1295,     162
1296,     132
1297,     146
1298,     136
1299,     117
1300,     134
1301,     144
1302,     120
1303,     144
1304,     144
1305,     122
1306,     141
1307,     141
1308,     135
1309,     129
1310,     133
1311,     141
1312,     120
1313,     146
1314,     125
1315,     142
1316,     124
1317,     131
1318,     143
1319,     128
1320,     145
1321,     129
1322,     126
1323,     134
1324,     152
1325,     148
1326,     147
1327,     139
1328,     135
1329,     126
1330,     154
1331,     138
1332,     148
1333,     125
1334,     145
1335,     133
1336,     155
1337,     141
1338,     141
1339,     140
1340,     115
1341,     114
1342,     130
1343,     140
1344,     125
1345,     149
1346,     136
1347,     123
1348,     124
1349,     138
1350,     141
1351,     128
1352,     163
1353,     135
1354,     139
1355,     133
1356,     130
1357,     136
1358,     133
1359,     147
1360,     133
1361,     150
1362,     140
1363,     128
1364,     117
1365,     109
1366,     132
1367,     135
1368,     122
1369,     132
1370,     146
1371,     137
1372,     138
1373,     145
1374,     130
1375,     147
1376,     145
